"","AuctionID","Name","Rank","Region","Forest","District","Acres","Salvage","Method.of.Sale","Sale.Size","Species","Road.Construction","Haul","num_bidders","log_amount","log_value"
"186",107,"ASCO, INC.",3,1,5,1,110,"N","S",5,17,0,27,3,16.4474648635839,9.90558535061827
"187",107,"CLEARWATER FOREST IND.",2,1,5,1,110,"N","S",5,17,0,27,3,16.5010226738143,9.90558535061827
"188",108,"J. W. BRANDT & SON",2,1,5,1,32,"N","A",5,17,0,25,2,15.5511810413104,9.89968031419317
"189",108,"POTLATCH CORPORATION",1,1,5,1,32,"N","A",5,17,0,25,2,15.5651850827086,9.89968031419317
"190",109,"J. W. BRANDT & SON",3,1,5,1,62,"N","S",5,17,1,19,3,15.6607616617917,9.90118490347345
"191",109,"POTLATCH CORPORATION",1,1,5,1,62,"N","S",5,17,1,19,3,15.7793839686494,9.90118490347345
"192",109,"CLEARWATER FOR. IND.",2,1,5,1,62,"N","S",5,17,1,19,3,15.7317048167261,9.90118490347345
"193",110,"CLEARWATER FOREST IND.",2,1,5,1,168,"N","A",5,17,0,23,2,15.8455571338691,9.90398742757778
"194",110,"POTLATCH CORPORATION",1,1,5,1,168,"N","A",5,17,0,23,2,15.8536665862572,9.90398742757778
"195",111,"CLEARWATER FORESTS IND",5,1,5,1,162,"N","S",5,242,0,26,5,15.9184977132191,10.2240118657919
"196",111,"POTLATCH CORPORATION",1,1,5,1,162,"N","S",5,242,0,26,5,16.3344103385678,10.2240118657919
"197",111,"J. W. BRANDT & SON",4,1,5,1,162,"N","S",5,242,0,26,5,16.0359762885291,10.2240118657919
"198",111,"B. J. CARNEY CO.",2,1,5,1,162,"N","S",5,242,0,26,5,16.2063510038889,10.2240118657919
"199",111,"L. D. MCFARLAND",3,1,5,1,162,"N","S",5,242,0,26,5,16.0996770654343,10.2240118657919
"200",112,"LOREN E. GATES",2,1,5,1,57,"N","S",5,17,0,28,2,13.6678860363651,9.91279411185643
"201",112,"J. W. BRANDT & SON",1,1,5,1,57,"N","S",5,17,0,28,2,13.79019274998,9.91279411185643
"202",114,"NELSON-YOUNG",1,1,5,1,93,"Y","D",5,17,0,17,1,13.6241563291395,10.0975729762503
"203",115,"VOWELS LOGGING",5,1,5,2,114,"Y","S",5,17,0,25,5,15.1542839741152,9.92881411048214
"204",115,"PLUMMER POLE CO.",2,1,5,2,114,"Y","S",5,17,0,25,5,15.5536035681987,9.92881411048214
"205",115,"REGULUS STUD MILL",1,1,5,2,114,"Y","S",5,17,0,25,5,15.6516155667304,9.92881411048214
"206",115,"PACIFIC CROWN",4,1,5,2,114,"Y","S",5,17,0,25,5,15.202935529703,9.92881411048214
"207",115,"POTLATCH CORP.",3,1,5,2,114,"Y","S",5,17,0,25,5,15.3992119080821,9.92881411048214
"208",116,"JOHNNIE FOOTE",2,1,5,2,40,"N","S",5,17,0,23,3,14.1081801719271,9.92837526804391
"209",116,"PACIFIC CROWN TIMBER PROD",1,1,5,2,40,"N","S",5,17,0,23,3,14.5136452800353,9.92837526804391
"210",116,"RUDY HEICKSEN",3,1,5,2,40,"N","S",5,17,0,23,3,13.6588567479189,9.92837526804391
"211",117,"IDAHO FOREST INDUSTRIES",1,1,5,2,2,"N","D",5,17,0,19,1,13.2318113281063,9.97208034400174
